CRN,CRASH_YEAR,VEH_TYPE
2011054110,2011,Automobile
2011054111,2011,Small truck
2011054111,2011,Automobile
2011054113,2011,Automobile
2011054113,2011,Small truck
2011054113,2011,Automobile
2011054114,2011,Automobile
2011054114,2011,Automobile
2011054115,2011,Automobile
2011054116,2011,Automobile
2011054116,2011,Automobile
2011054117,2011,Automobile
2011054117,2011,SUV
2011054118,2011,Automobile
2011054118,2011,Automobile
2011054118,2011,Automobile
2011054118,2011,Automobile
2011054119,2011,Automobile
2011054119,2011,Automobile
2011054120,2011,SUV
2011054120,2011,Automobile
2011054121,2011,Automobile
2011054122,2011,SUV
2011054123,2011,Automobile
2011054123,2011,Automobile
2011054124,2011,Automobile
2011054124,2011,SUV
2011054125,2011,Automobile
2011054126,2011,Automobile
2011054126,2011,Automobile
2011054127,2011,Automobile
2011054127,2011,Unicycle bicycle or tricycle
2011054128,2011,Van
2011054128,2011,Automobile
2011054129,2011,SUV
2011054129,2011,unknown
2011054130,2011,Small truck
2011054130,2011,SUV
2011054131,2011,Automobile
2011054131,2011,SUV
2011054132,2011,Automobile
2011054132,2011,Automobile
2011054132,2011,SUV
2011054133,2011,Automobile
2011054134,2011,SUV
2011054134,2011,SUV
2011054135,2011,Automobile
2011054135,2011,Unicycle bicycle or tricycle
2011054137,2011,Automobile
2011054137,2011,Small truck
2011054137,2011,Small truck
2011054137,2011,Automobile
2011054138,2011,Automobile
2011054138,2011,Automobile
2011054139,2011,SUV
2011054140,2011,SUV
2011054140,2011,unknown
2011054141,2011,SUV
2011054141,2011,Van
2011054142,2011,SUV
2011054142,2011,SUV
2011054143,2011,Automobile
2011054144,2011,Automobile
2011054144,2011,Small truck
2011054145,2011,Automobile
2011054146,2011,Automobile
2011054147,2011,Small truck
2011054147,2011,Automobile
2011054148,2011,Van
2011054148,2011,Automobile
2011054149,2011,Automobile
2011054149,2011,Small truck
2011054150,2011,Automobile
2011054150,2011,Automobile
2011054151,2011,Motorcycle
2011054152,2011,Small truck
2011054152,2011,Automobile
2011054153,2011,Automobile
2011054153,2011,Large truck
2011054154,2011,Automobile
2011054155,2011,SUV
2011054155,2011,Automobile
2011054156,2011,Automobile
2011054156,2011,Automobile
2011054157,2011,SUV
2011054157,2011,Automobile
2011054157,2011,SUV
2011054157,2011,SUV
2011054158,2011,Automobile
2011054158,2011,SUV
2011054159,2011,Automobile
2011054159,2011,Automobile
2011054160,2011,Automobile
2011054160,2011,Van
2011054161,2011,Automobile
2011054162,2011,Automobile
2011054162,2011,Automobile
2011054163,2011,Automobile
2011054163,2011,SUV
2011054163,2011,Automobile
2011054164,2011,Automobile
2011054165,2011,Automobile
2011054165,2011,Automobile
2011054167,2011,Van
2011054167,2011,Automobile
2011054168,2011,Automobile
2011054168,2011,Automobile
2011054169,2011,Automobile
2011054169,2011,Automobile
2011054170,2011,Automobile
2011054170,2011,Automobile
2011054171,2011,Automobile
2011054171,2011,SUV
2011054172,2011,Small truck
2011054172,2011,Automobile
2011054174,2011,Automobile
2011054174,2011,Automobile
2011054175,2011,SUV
2011054175,2011,Automobile
2011054176,2011,Automobile
2011054177,2011,Automobile
2011054177,2011,Automobile
2011054178,2011,Automobile
2011054178,2011,unknown
2011054179,2011,Automobile
2011054180,2011,Automobile
2011054180,2011,Automobile
2011054181,2011,Automobile
2011054181,2011,Automobile
2011054182,2011,Automobile
2011054182,2011,SUV
2011054183,2011,Automobile
2011054184,2011,Automobile
2011054185,2011,SUV
2011054185,2011,SUV
2011054186,2011,SUV
2011054186,2011,Automobile
2011054186,2011,Automobile
2011054186,2011,Automobile
2011054186,2011,Automobile
2011054187,2011,Automobile
2011054187,2011,Unicycle bicycle or tricycle
2011054188,2011,Automobile
2011054188,2011,SUV
2011054189,2011,Motorcycle
2011054190,2011,Automobile
2011054191,2011,Automobile
2011054191,2011,Small truck
2011054191,2011,Automobile
2011054192,2011,Automobile
2011054193,2011,Unicycle bicycle or tricycle
2011054193,2011,Automobile
2011054194,2011,Automobile
2011054194,2011,SUV
2011054195,2011,SUV
2011054196,2011,Small truck
2011054198,2011,Automobile
2011054198,2011,Automobile
2011054199,2011,Automobile
2011054201,2011,Automobile
2011054201,2011,Automobile
2011054203,2011,Automobile
2011054203,2011,Automobile
2011054204,2011,Automobile
2011054205,2011,Automobile
2011054205,2011,SUV
2011054206,2011,Automobile
2011054206,2011,Automobile
2011054207,2011,SUV
2011054207,2011,Automobile
2011054207,2011,Automobile
2011054208,2011,Small truck
2011054208,2011,Automobile
2011054208,2011,Small truck
2011054208,2011,Automobile
2011054208,2011,Automobile
2011054208,2011,SUV
2011054209,2011,Automobile
2011054210,2011,Automobile
2011054210,2011,Automobile
2011054211,2011,Van
2011054211,2011,Van
2011054211,2011,Small truck
2011054212,2011,Automobile
2011054212,2011,Automobile
2011054213,2011,unknown
2011054213,2011,Unicycle bicycle or tricycle
2011054214,2011,Automobile
2011054215,2011,Automobile
2011054215,2011,Automobile
2011054216,2011,Automobile
2011054217,2011,Automobile
2011054217,2011,Automobile
2011054218,2011,Automobile
2011054218,2011,Automobile
2011054219,2011,Automobile
2011054219,2011,Automobile
2011054220,2011,Automobile
2011054220,2011,Small truck
2011054221,2011,Small truck
2011054221,2011,Van
2011054224,2011,Automobile
2011054225,2011,Automobile
2011054225,2011,Automobile
2011054226,2011,SUV
2011054226,2011,Small truck
2011054226,2011,Automobile
2011054227,2011,Automobile
2011054227,2011,Small truck
2011054228,2011,Automobile
2011054228,2011,Automobile
2011054228,2011,Automobile
2011054228,2011,SUV
2011054228,2011,Automobile
2011054229,2011,Automobile
2011054229,2011,Automobile
2011054229,2011,Automobile
2011054231,2011,Automobile
2011054232,2011,Automobile
2011054233,2011,Motorcycle
2011054233,2011,Automobile
2011054234,2011,Automobile
2011054234,2011,Automobile
2011054235,2011,Small truck
2011054235,2011,Unicycle bicycle or tricycle
2011054235,2011,Automobile
2011054237,2011,Automobile
2011054237,2011,Small truck
2011054238,2011,SUV
2011054239,2011,Automobile
2011054240,2011,Automobile
2011054240,2011,SUV
2011054241,2011,Small truck
2011054241,2011,Automobile
2011054242,2011,Automobile
2011054242,2011,Automobile
2011054243,2011,Automobile
2011054243,2011,Automobile
2011054244,2011,SUV
2011054244,2011,Automobile
2011054244,2011,Automobile
2011054245,2011,Automobile
2011054245,2011,Automobile
2011054246,2011,Automobile
2011054246,2011,Automobile
2011054248,2011,Automobile
2011054248,2011,Automobile
2011054249,2011,Automobile
2011054250,2011,Automobile
2011054250,2011,SUV
2011054250,2011,Automobile
2011054252,2011,Van
2011054252,2011,Automobile
2011054252,2011,Motorcycle
2011054253,2011,Automobile
2011054254,2011,Automobile
2011054254,2011,Automobile
2011054255,2011,Automobile
2011054255,2011,Automobile
2011054256,2011,Motorcycle
2011054256,2011,Small truck
2011054257,2011,SUV
2011054258,2011,Automobile
2011054259,2011,Automobile
2011054259,2011,Automobile
2011054260,2011,Automobile
2011054260,2011,Bus
2011054261,2011,SUV
2011054261,2011,Automobile
2011054262,2011,Automobile
2011054263,2011,Automobile
2011054264,2011,Automobile
2011054264,2011,Automobile
2011054265,2011,Automobile
2011054266,2011,Automobile
2011054266,2011,Automobile
2011054267,2011,SUV
2011054267,2011,Automobile
2011054268,2011,Automobile
2011054268,2011,Van
2011054269,2011,SUV
2011054270,2011,Automobile
2011054271,2011,Automobile
2011054272,2011,Automobile
2011054272,2011,Unicycle bicycle or tricycle
2011054273,2011,SUV
2011054273,2011,Automobile
2011054274,2011,Automobile
2011054274,2011,SUV
2011054275,2011,Van
2011054275,2011,Automobile
2011054276,2011,Automobile
2011054276,2011,Automobile
2011054277,2011,Van
2011054277,2011,Automobile
2011054278,2011,Automobile
2011054278,2011,Small truck
2011054279,2011,Automobile
2011054279,2011,Automobile
2011054280,2011,Automobile
2011054280,2011,Small truck
2011054281,2011,Van
2011054281,2011,Automobile
2011054282,2011,Automobile
2011054282,2011,Automobile
2011054282,2011,SUV
2011054283,2011,Automobile
2011054283,2011,Small truck
2011054283,2011,Automobile
2011054284,2011,Van
2011054284,2011,SUV
2011054286,2011,unknown
2011054287,2011,Van
2011054287,2011,SUV
2011054287,2011,Automobile
2011054288,2011,Automobile
2011054289,2011,SUV
2011054289,2011,Automobile
2011054290,2011,Automobile
2011054290,2011,Automobile
2011054291,2011,Automobile
2011054291,2011,Automobile
2011054293,2011,Automobile
2011054293,2011,Automobile
2011054294,2011,Automobile
2011054295,2011,Motorcycle
2011054296,2011,Automobile
2011054296,2011,Automobile
2011054296,2011,SUV
2011054296,2011,Automobile
2011054297,2011,Small truck
2011054297,2011,Automobile
2011054298,2011,Automobile
2011054298,2011,Automobile
2011054299,2011,Automobile
2011054299,2011,Automobile
2011054299,2011,Automobile
2011054300,2011,SUV
2011054302,2011,Automobile
2011054302,2011,Automobile
2011054304,2011,Automobile
2011054304,2011,Unicycle bicycle or tricycle
2011054305,2011,SUV
2011054305,2011,Automobile
2011054306,2011,Automobile
2011054306,2011,Automobile
2011054306,2011,SUV
2011054306,2011,Automobile
2011054307,2011,SUV
2011054307,2011,Automobile
2011054308,2011,Van
2011054308,2011,SUV
2011054309,2011,Small truck
2011054309,2011,SUV
2011054310,2011,Small truck
2011054311,2011,Automobile
2011054311,2011,Automobile
2011054312,2011,Automobile
2011054313,2011,Automobile
2011054314,2011,Automobile
2011054314,2011,Automobile
2011054315,2011,Unicycle bicycle or tricycle
2011054315,2011,Automobile
2011054316,2011,Automobile
2011054316,2011,Automobile
2011054318,2011,SUV
2011054318,2011,Automobile
2011054319,2011,SUV
2011054319,2011,SUV
2011054320,2011,Automobile
2011054321,2011,Automobile
2011054322,2011,Automobile
2011054322,2011,Automobile
2011054323,2011,Van
2011054324,2011,Automobile
2011054324,2011,Automobile
2011054325,2011,SUV
2011054325,2011,Unicycle bicycle or tricycle
2011054326,2011,SUV
2011054327,2011,Motorcycle
2011054327,2011,Automobile
2011054328,2011,SUV
2011054328,2011,SUV
2011054328,2011,Automobile
2011054329,2011,SUV
2011054329,2011,Automobile
2011054329,2011,Automobile
2011054330,2011,Small truck
2011054330,2011,Automobile
2011054331,2011,Automobile
2011054331,2011,Automobile
2011054332,2011,Automobile
2011054333,2011,Automobile
2011054334,2011,Automobile
2011054334,2011,Automobile
2011054335,2011,Large truck
2011054335,2011,Van
2011054336,2011,Automobile
2011054337,2011,Automobile
2011054338,2011,Automobile
2011054339,2011,Small truck
2011054340,2011,Automobile
2011054340,2011,Automobile
2011054341,2011,Large truck
2011054341,2011,Small truck
2011054342,2011,Large truck
2011054342,2011,Small truck
2011054343,2011,Automobile
2011054344,2011,Automobile
2011054345,2011,Automobile
2011054345,2011,Van
2011054346,2011,SUV
2011054346,2011,SUV
2011054347,2011,SUV
2011054347,2011,Automobile
2011054349,2011,SUV
2011054349,2011,Automobile
2011054350,2011,Automobile
2011054350,2011,Automobile
2011054351,2011,Automobile
2011054351,2011,Automobile
2011054351,2011,Automobile
2011054351,2011,Automobile
2011054351,2011,SUV
2011054352,2011,SUV
2011054352,2011,Automobile
2011054353,2011,Automobile
2011054353,2011,Automobile
2011054354,2011,Automobile
2011054354,2011,Van
2011054355,2011,Automobile
2011054355,2011,Automobile
2011054356,2011,SUV
2011054357,2011,Automobile
2011054358,2011,SUV
2011054359,2011,Automobile
2011054359,2011,Automobile
2011054360,2011,Automobile
2011054361,2011,Automobile
2011054362,2011,Automobile
2011054362,2011,SUV
2011054364,2011,Automobile
2011054364,2011,SUV
2011054365,2011,Automobile
2011054366,2011,Automobile
2011054366,2011,Automobile
2011054367,2011,Automobile
2011054367,2011,Automobile
2011054368,2011,Automobile
2011054368,2011,SUV
2011054369,2011,Automobile
2011054369,2011,Automobile
2011054370,2011,Small truck
2011054371,2011,Van
2011054372,2011,Automobile
2011054372,2011,Automobile
2011054372,2011,Automobile
2011054372,2011,Automobile
2011054373,2011,SUV
2011054373,2011,SUV
2011054374,2011,unknown
2011054376,2011,Automobile
2011054376,2011,Automobile
2011054377,2011,SUV
2011054378,2011,Motorcycle
2011054378,2011,Automobile
2011054378,2011,unknown
2011054379,2011,Automobile
2011054380,2011,SUV
2011054381,2011,SUV
2011054381,2011,Automobile
2011054382,2011,Motorcycle
2011054382,2011,Automobile
2011054507,2011,Automobile
2011054507,2011,SUV
2011054509,2011,Large truck
2011054509,2011,Automobile
2011054512,2011,Automobile
2011054512,2011,Van
2011054513,2011,Automobile
2011054515,2011,Small truck
2011054515,2011,Automobile
2011054516,2011,Automobile
2011054516,2011,Small truck
2011054517,2011,Automobile
2011054517,2011,Automobile
2011054518,2011,Automobile
2011054519,2011,Automobile
2011054519,2011,Small truck
2011054636,2011,SUV
2011054636,2011,Automobile
2011054636,2011,Automobile
2011055095,2011,Automobile
2011055095,2011,Large truck
2011055203,2011,Motorcycle
2011055448,2011,Automobile
2011055448,2011,SUV
2011055449,2011,Automobile
2011055449,2011,Van
2011055450,2011,Automobile
2011055451,2011,SUV
2011055451,2011,Automobile
2011055455,2011,Automobile
2011055455,2011,Small truck
2011055457,2011,Automobile
2011055457,2011,Small truck
2011055459,2011,SUV
2011055459,2011,Small truck
2011055461,2011,Automobile
2011055461,2011,Automobile
2011055463,2011,Automobile
2011055464,2011,Automobile
2011055464,2011,Automobile
2011055464,2011,Automobile
2011055464,2011,SUV
2011055465,2011,Automobile
2011055465,2011,SUV
2011055466,2011,Automobile
2011055466,2011,Automobile
2011055467,2011,Small truck
2011055580,2011,Automobile
2011055580,2011,Automobile
2011055701,2011,Automobile
2011055704,2011,Automobile
2011055705,2011,SUV
2011055706,2011,Automobile
2011055707,2011,Automobile
2011055708,2011,Automobile
2011055709,2011,Small truck
2011055710,2011,Automobile
2011055710,2011,Automobile
2011055711,2011,Automobile
2011055711,2011,Automobile
2011055712,2011,Automobile
2011055712,2011,Automobile
2011055714,2011,Small truck
2011055714,2011,SUV
2011055715,2011,Small truck
2011055715,2011,Motorcycle
2011055718,2011,Automobile
2011055718,2011,Automobile
2011055719,2011,Automobile
2011055719,2011,Automobile
2011055744,2011,Automobile
2011055744,2011,Van
2011055745,2011,Automobile
2011055745,2011,Automobile
2011055745,2011,SUV
2011055746,2011,Automobile
2011055746,2011,Automobile
2011055746,2011,Automobile
2011055747,2011,Automobile
2011055747,2011,Automobile
2011055747,2011,Automobile
2011055748,2011,Automobile
2011055748,2011,Automobile
2011055749,2011,SUV
2011055749,2011,Automobile
2011055750,2011,Small truck
2011055751,2011,Automobile
2011055751,2011,Automobile
2011055753,2011,Automobile
2011055754,2011,Van
2011055754,2011,Automobile
2011055754,2011,Automobile
2011055754,2011,Automobile
2011055754,2011,Automobile
2011055755,2011,Automobile
2011055755,2011,Automobile
2011055756,2011,Automobile
2011055890,2011,SUV
2011055890,2011,Automobile
2011055890,2011,Automobile
2011055891,2011,Small truck
2011055891,2011,Automobile
2011055891,2011,SUV
2011055892,2011,Automobile
2011055892,2011,Automobile
2011055892,2011,Automobile
2011055940,2011,Automobile
2011055940,2011,SUV
2011055940,2011,Van
2011055941,2011,SUV
2011055941,2011,Automobile
2011055941,2011,Automobile
2011055943,2011,Automobile
2011056004,2011,Van
2011056004,2011,Automobile
2011056004,2011,Automobile
2011056008,2011,Automobile
2011056157,2011,Automobile
2011056157,2011,Automobile
2011056158,2011,Automobile
2011056158,2011,Automobile
2011056159,2011,SUV
2011056159,2011,Automobile
2011056159,2011,SUV
2011056220,2011,Automobile
2011056220,2011,Automobile
2011056327,2011,SUV
2011056377,2011,Automobile
2011056377,2011,Automobile
